DATE;CAP;COUNT;DELTA
[2021, 7, 7, 20, 29, 4];450;191;259
[2021, 7, 7, 20, 48, 54];450;187;263
[2021, 7, 7, 20, 49, 53];450;186;264
[2021, 7, 7, 20, 49, 57];450;187;263
[2021, 7, 7, 21, 3, 10];450;183;267
[2021, 7, 7, 21, 3, 13];450;184;266
[2021, 7, 7, 21, 3, 22];450;185;265
[2021, 7, 7, 21, 5, 32];450;184;266
[2021, 7, 7, 21, 6, 1];450;183;267
[2021, 7, 7, 21, 6, 59];450;182;268
[2021, 7, 7, 21, 7, 15];450;181;269
[2021, 7, 7, 21, 7, 19];450;180;270
[2021, 7, 7, 21, 7, 21];450;179;271
[2021, 7, 7, 21, 7, 28];450;180;270
[2021, 7, 7, 21, 7, 32];450;181;269
[2021, 7, 7, 21, 7, 37];450;182;268
[2021, 7, 7, 21, 7, 39];450;181;269
[2021, 7, 7, 21, 8, 30];450;180;270
[2021, 7, 7, 21, 9, 9];450;181;269
[2021, 7, 7, 21, 10, 20];450;182;268
[2021, 7, 7, 21, 10, 38];450;183;267
[2021, 7, 7, 21, 10, 41];450;184;266
[2021, 7, 7, 21, 11, 37];450;185;265
[2021, 7, 7, 21, 12, 59];450;186;264
[2021, 7, 7, 21, 15, 14];450;187;263
[2021, 7, 7, 21, 15, 34];450;188;262
[2021, 7, 7, 21, 15, 39];450;189;261
[2021, 7, 7, 21, 15, 43];450;190;260
[2021, 7, 7, 21, 15, 47];450;191;259
[2021, 7, 7, 21, 15, 50];450;192;258
[2021, 7, 7, 21, 15, 52];450;191;259
[2021, 7, 7, 21, 16, 17];450;190;260
[2021, 7, 7, 21, 17, 21];450;189;261
[2021, 7, 7, 21, 18, 47];450;188;262
[2021, 7, 7, 21, 19, 12];450;189;261
[2021, 7, 7, 21, 19, 14];450;190;260
[2021, 7, 7, 21, 20, 23];450;189;261
[2021, 7, 7, 21, 20, 32];450;188;262
[2021, 7, 7, 21, 21, 32];450;187;263
[2021, 7, 7, 21, 21, 42];450;188;262
[2021, 7, 7, 21, 22, 6];450;187;263
[2021, 7, 7, 21, 22, 58];450;186;264
[2021, 7, 7, 21, 23, 2];450;185;265
[2021, 7, 7, 21, 23, 6];450;184;266
[2021, 7, 7, 21, 23, 18];450;183;267
[2021, 7, 7, 21, 23, 52];450;184;266
[2021, 7, 7, 21, 23, 56];450;183;267
[2021, 7, 7, 21, 24, 5];450;182;268
[2021, 7, 7, 21, 24, 32];450;183;267
[2021, 7, 7, 21, 24, 45];450;184;266
[2021, 7, 7, 21, 25, 52];450;183;267
[2021, 7, 7, 21, 26, 55];450;182;268
[2021, 7, 7, 21, 27, 22];450;183;267
[2021, 7, 7, 21, 31, 9];450;182;268
[2021, 7, 7, 21, 31, 13];450;181;269
[2021, 7, 7, 21, 32, 5];450;180;270
[2021, 7, 7, 21, 32, 9];450;179;271
[2021, 7, 7, 21, 33, 10];450;178;272
[2021, 7, 7, 21, 34, 19];450;177;273
[2021, 7, 7, 21, 34, 26];450;178;272
[2021, 7, 7, 21, 34, 31];450;177;273
[2021, 7, 7, 21, 36, 43];450;178;272
